Name,COMSTOCK RES.INCO. 2004 6 7/8% 01/03/12 S - GROSS PRICE
Code,38875H(GP)
19/05/2006,98.5851
22/05/2006,98.3541
23/05/2006,98.3732
24/05/2006,98.4305
25/05/2006,98.4496
26/05/2006,98.4496
29/05/2006,98.4688
30/05/2006,98.4878
31/05/2006,98.0451
1/06/2006,98.0642
2/06/2006,98.0833
5/06/2006,98.1024
6/06/2006,97.6215
7/06/2006,97.1788
8/06/2006,97.1979
9/06/2006,97.217
12/06/2006,97.2361
13/06/2006,97.2552
14/06/2006,96.8125
15/06/2006,96.8316
16/06/2006,96.8507
19/06/2006,95.6198
20/06/2006,95.6389
21/06/2006,95.1962
22/06/2006,95.2153
23/06/2006,95.2343
26/06/2006,95.5034
27/06/2006,96.0226
28/06/2006,95.5798
29/06/2006,95.5989
30/06/2006,95.743
3/07/2006,97.3871
4/07/2006,97.4062
5/07/2006,97.4635
6/07/2006,96.4826
7/07/2006,96.0017
10/07/2006,96.5208
11/07/2006,96.5399
12/07/2006,96.0972
13/07/2006,96.1163
14/07/2006,96.1354
17/07/2006,96.0295
18/07/2006,95.6736
19/07/2006,95.7309
20/07/2006,95.75
21/07/2006,96.0191
24/07/2006,96.0382
25/07/2006,96.5573
26/07/2006,96.8455
27/07/2006,96.6146
28/07/2006,96.6337
31/07/2006,96.9028
1/08/2006,96.9218
2/08/2006,96.9791
3/08/2006,97.4982
4/08/2006,97.7673
7/08/2006,98.0364
8/08/2006,99.0555
9/08/2006,99.1128
10/08/2006,99.1319
11/08/2006,99.151
14/08/2006,98.1701
15/08/2006,98.1892
16/08/2006,98.2465
17/08/2006,98.2656
18/08/2006,98.2847
21/08/2006,98.5538
22/08/2006,98.5729
23/08/2006,98.6302
24/08/2006,98.3993
25/08/2006,98.4184
28/08/2006,98.4184
29/08/2006,95.25
30/08/2006,95.8073
31/08/2006,95.9514
1/09/2006,95.9705
4/09/2006,95.9896
5/09/2006,96.0087
6/09/2006,96.0659
7/09/2006,96.0851
8/09/2006,96.3541
11/09/2006,96.4982
12/09/2006,96.6423
13/09/2006,96.6996
14/09/2006,97.0937
15/09/2006,97.3628
18/09/2006,97.1319
19/09/2006,96.901
20/09/2006,96.8333
21/09/2006,96.8524
22/09/2006,96.7465
25/09/2006,97.0156
26/09/2006,96.7847
27/09/2006,96.342
28/09/2006,95.9861
29/09/2006,96.0052
2/10/2006,96.0243
3/10/2006,96.0434
4/10/2006,95.4757
5/10/2006,95.4948
6/10/2006,95.1389
9/10/2006,95.158
10/10/2006,95.1771
11/10/2006,95.2344
12/10/2006,95.2534
13/10/2006,95.2726
16/10/2006,95.1666
17/10/2006,95.4357
18/10/2006,95.493
19/10/2006,95.5121
20/10/2006,95.5312
23/10/2006,95.3003
24/10/2006,95.3194
25/10/2006,95.3767
26/10/2006,94.8767
27/10/2006,95.3958
30/10/2006,95.7899
31/10/2006,95.809
1/11/2006,96.2413
2/11/2006,96.2604
3/11/2006,96.2795
6/11/2006,96.0486
7/11/2006,96.1927
8/11/2006,96.25
9/11/2006,96.2691
10/11/2006,96.4132
13/11/2006,96.4323
