Name,MILLICOM INTL CELU. 2003 10% 01/12/13 144A S - GROSSPRICE
Code,37413V(GP)
4/03/2005,108.8472
7/03/2005,108.875
8/03/2005,108.7778
9/03/2005,108.8611
10/03/2005,108.1389
11/03/2005,107.9166
14/03/2005,107.6944
15/03/2005,107.9722
16/03/2005,108.0555
17/03/2005,108.0833
18/03/2005,108.1111
21/03/2005,107.1389
22/03/2005,107.1666
23/03/2005,107.25
24/03/2005,106.7778
25/03/2005,106.8055
28/03/2005,106.8055
29/03/2005,106.8333
30/03/2005,105.4166
31/03/2005,105.4444
1/04/2005,105.4722
4/04/2005,105.5
5/04/2005,105.5278
6/04/2005,105.6111
7/04/2005,105.6389
8/04/2005,105.6666
11/04/2005,105.6944
12/04/2005,105.7222
13/04/2005,105.3055
14/04/2005,105.3333
15/04/2005,104.3611
18/04/2005,104.3889
19/04/2005,104.4166
20/04/2005,104.5
21/04/2005,101.7778
22/04/2005,102.0555
25/04/2005,102.0833
26/04/2005,102.1111
27/04/2005,101.5694
28/04/2005,102.2222
29/04/2005,101.5
2/05/2005,101.7778
3/05/2005,101.8055
4/05/2005,101.8889
5/05/2005,101.9166
6/05/2005,101.9444
9/05/2005,101.9722
10/05/2005,101.5
11/05/2005,101.5833
12/05/2005,100.6111
13/05/2005,100.6389
16/05/2005,100.6666
17/05/2005,100.6944
18/05/2005,100.7778
19/05/2005,100.8055
20/05/2005,100.8333
23/05/2005,100.8611
24/05/2005,100.8889
25/05/2005,100.9722
26/05/2005,100.9722
27/05/2005,96
30/05/2005,96.0278
31/05/2005,96.0555
1/06/2005,96.1389
2/06/2005,96.1666
3/06/2005,96.1944
6/06/2005,96.2222
7/06/2005,96.25
8/06/2005,96.3333
9/06/2005,96.3611
10/06/2005,96.3889
13/06/2005,96.4166
14/06/2005,96.4444
15/06/2005,96.5278
16/06/2005,96.5555
17/06/2005,96.5833
20/06/2005,96.6111
21/06/2005,96.6389
22/06/2005,96.7222
23/06/2005,96.75
24/06/2005,96.7778
27/06/2005,96.8055
28/06/2005,96.8333
29/06/2005,96.9166
30/06/2005,96.9444
1/07/2005,96.9722
4/07/2005,97
5/07/2005,97.0278
6/07/2005,97.1111
7/07/2005,97.1389
8/07/2005,97.1666
11/07/2005,97.1944
12/07/2005,97.2222
13/07/2005,97.3055
14/07/2005,97.3333
15/07/2005,97.3611
18/07/2005,97.3889
19/07/2005,97.4166
20/07/2005,97.5
21/07/2005,97.5278
22/07/2005,97.5555
25/07/2005,97.5833
26/07/2005,97.6111
27/07/2005,97.6666
28/07/2005,97.6944
29/07/2005,97.7222
1/08/2005,97.75
2/08/2005,97.7778
3/08/2005,97.8611
4/08/2005,97.8889
5/08/2005,97.9166
8/08/2005,97.9444
9/08/2005,97.9722
10/08/2005,98.0555
11/08/2005,98.0833
12/08/2005,98.1111
15/08/2005,98.1389
16/08/2005,98.1666
17/08/2005,98.25
18/08/2005,98.2778
19/08/2005,98.3055
22/08/2005,98.3333
23/08/2005,98.3611
24/08/2005,98.4444
25/08/2005,98.4722
26/08/2005,98.4722
29/08/2005,98.5
30/08/2005,98.5278
31/08/2005,98.6111
1/09/2005,98.6389
2/09/2005,98.6666
5/09/2005,98.6944
6/09/2005,98.7222
7/09/2005,98.8055
8/09/2005,98.8333
9/09/2005,98.8611
12/09/2005,98.8889
13/09/2005,98.9166
14/09/2005,99
15/09/2005,99.0278
16/09/2005,99.0555
19/09/2005,99.0833
20/09/2005,99.1111
21/09/2005,99.1944
22/09/2005,99.2222
23/09/2005,99.25
26/09/2005,99.2778
27/09/2005,99.3055
28/09/2005,99.3889
29/09/2005,99.4166
30/09/2005,99.4444
3/10/2005,99.4722
4/10/2005,99.5
5/10/2005,99.5833
6/10/2005,99.6111
7/10/2005,99.6389
10/10/2005,99.6666
11/10/2005,99.6944
12/10/2005,99.7778
13/10/2005,99.8055
14/10/2005,99.8333
17/10/2005,99.8611
18/10/2005,99.8889
19/10/2005,99.9722
20/10/2005,100
21/10/2005,100.0278
24/10/2005,100.0555
25/10/2005,100.0833
26/10/2005,100.1389
27/10/2005,100.1666
28/10/2005,100.1944
31/10/2005,100.2222
1/11/2005,100.25
2/11/2005,100.3333
3/11/2005,100.3611
4/11/2005,100.3889
7/11/2005,100.4166
8/11/2005,100.4444
9/11/2005,100.5278
10/11/2005,100.5555
11/11/2005,100.5833
14/11/2005,100.6111
15/11/2005,100.6389
16/11/2005,100.7222
17/11/2005,100.75
18/11/2005,100.7778
21/11/2005,100.8055
