Name,BLOUNT INCO. 2004 8 7/8% 01/08/12 S - GROSS PRICE
Code,46389R(GP)
1/05/2006,106.2927
2/05/2006,106.3173
3/05/2006,106.3913
4/05/2006,106.416
5/05/2006,106.4406
8/05/2006,106.4653
9/05/2006,106.2399
10/05/2006,106.3139
11/05/2006,105.8385
12/05/2006,105.8632
15/05/2006,105.6378
16/05/2006,105.6625
17/05/2006,105.7364
18/05/2006,105.7611
19/05/2006,105.7857
22/05/2006,105.8104
23/05/2006,105.8351
24/05/2006,105.909
25/05/2006,105.9337
26/05/2006,105.9337
29/05/2006,105.9583
30/05/2006,105.983
31/05/2006,106.0569
1/06/2006,106.0816
2/06/2006,105.1062
5/06/2006,105.1309
6/06/2006,105.1555
7/06/2006,104.7295
8/06/2006,104.2542
9/06/2006,103.7788
12/06/2006,103.8035
13/06/2006,103.8281
14/06/2006,103.4021
15/06/2006,103.4267
16/06/2006,103.4514
19/06/2006,103.476
20/06/2006,103.5007
21/06/2006,103.5746
22/06/2006,103.2243
23/06/2006,103.2489
26/06/2006,103.2736
27/06/2006,104.1733
28/06/2006,103.2472
29/06/2006,103.2719
30/06/2006,103.2965
3/07/2006,103.3212
4/07/2006,103.3458
5/07/2006,104.2948
6/07/2006,104.3194
7/07/2006,104.9691
10/07/2006,104.9937
11/07/2006,106.2684
12/07/2006,106.3423
13/07/2006,106.367
14/07/2006,106.3916
17/07/2006,106.4163
18/07/2006,106.4409
19/07/2006,106.5149
20/07/2006,105.2896
21/07/2006,105.3142
24/07/2006,105.3389
25/07/2006,105.3635
26/07/2006,105.4128
27/07/2006,101
28/07/2006,101.0246
31/07/2006,101.0493
1/08/2006,101.0739
2/08/2006,101.1479
3/08/2006,101.1725
4/08/2006,101.1972
7/08/2006,101.2218
8/08/2006,100.4965
9/08/2006,100.5705
10/08/2006,100.3451
11/08/2006,100.3698
14/08/2006,100.3944
15/08/2006,100.4191
16/08/2006,100.493
17/08/2006,100.5177
18/08/2006,100.5423
21/08/2006,100.067
22/08/2006,100.0916
23/08/2006,100.7906
24/08/2006,100.8153
25/08/2006,100.8399
28/08/2006,100.8399
29/08/2006,100.8646
30/08/2006,100.9385
31/08/2006,100.9632
1/09/2006,100.9878
4/09/2006,101.0125
5/09/2006,100.9121
6/09/2006,101.1111
7/09/2006,101.3857
8/09/2006,101.4104
11/09/2006,101.185
12/09/2006,101.2097
13/09/2006,101.2837
14/09/2006,101.3083
15/09/2006,101.333
18/09/2006,101.3576
19/09/2006,101.2573
20/09/2006,101.3312
21/09/2006,101.3559
22/09/2006,101.3805
25/09/2006,101.4052
26/09/2006,101.4298
27/09/2006,101.5038
28/09/2006,101.2784
29/09/2006,101.3031
2/10/2006,101.3278
3/10/2006,101.3524
4/10/2006,101.4264
5/10/2006,101.451
6/10/2006,101.4757
9/10/2006,101.5003
10/10/2006,101.525
11/10/2006,101.8489
12/10/2006,101.8736
13/10/2006,101.8982
16/10/2006,101.9229
17/10/2006,101.9475
18/10/2006,101.5215
19/10/2006,101.5462
20/10/2006,101.5708
23/10/2006,101.5955
24/10/2006,102.1201
25/10/2006,102.1941
26/10/2006,102.1941
27/10/2006,102.2188
30/10/2006,101.9934
31/10/2006,102.268
1/11/2006,102.592
2/11/2006,102.3666
3/11/2006,102.3913
6/11/2006,102.416
7/11/2006,102.4406
8/11/2006,102.5146
9/11/2006,103.2892
10/11/2006,103.3139
13/11/2006,103.3385
14/11/2006,103.3632
15/11/2006,103.6871
16/11/2006,104.2118
17/11/2006,104.2364
20/11/2006,104.2611
21/11/2006,104.2857
22/11/2006,104.3597
23/11/2006,104.3844
24/11/2006,104.409
27/11/2006,104.4337
28/11/2006,104.2083
29/11/2006,104.5323
30/11/2006,105.0569
1/12/2006,105.0816
4/12/2006,105.1062
5/12/2006,105.1309
6/12/2006,105.4548
7/12/2006,105.4795
8/12/2006,105.5042
11/12/2006,105.5288
12/12/2006,105.3035
13/12/2006,105.3774
14/12/2006,105.4021
15/12/2006,105.4267
18/12/2006,105.4514
19/12/2006,105.476
20/12/2006,105.55
21/12/2006,105.5746
22/12/2006,105.5993
25/12/2006,105.6239
26/12/2006,105.6486
27/12/2006,105.6979
28/12/2006,105.7225
29/12/2006,105.7472
1/01/2007,105.7719
2/01/2007,105.7965
3/01/2007,105.8705
4/01/2007,106.1451
