Name,ANIXTER INCO. 2005 5.95% 01/03/15 S - DEFAULT PRICE
Code,48998L(GP)
24/05/2006,92.25
25/05/2006,92.25
26/05/2006,92.25
29/05/2006,92.25
30/05/2006,91.75
31/05/2006,91.75
1/06/2006,91.75
2/06/2006,91.75
5/06/2006,91.75
6/06/2006,91.25
7/06/2006,91.25
8/06/2006,91.25
9/06/2006,91.25
12/06/2006,91.75
13/06/2006,91.75
14/06/2006,91.75
15/06/2006,91.75
16/06/2006,91.75
19/06/2006,91.75
20/06/2006,91.75
21/06/2006,91.5
22/06/2006,91.5
23/06/2006,91.5
26/06/2006,91.5
27/06/2006,91.75
28/06/2006,91.75
29/06/2006,92
30/06/2006,92
3/07/2006,92
4/07/2006,92
5/07/2006,92
6/07/2006,91.75
7/07/2006,91.75
10/07/2006,90.71
11/07/2006,90.71
12/07/2006,90.5
13/07/2006,89.75
14/07/2006,89.75
17/07/2006,89.75
18/07/2006,89.75
19/07/2006,89.75
20/07/2006,89.75
21/07/2006,89.75
24/07/2006,89.75
25/07/2006,89.75
26/07/2006,91.25
27/07/2006,92
28/07/2006,92.25
31/07/2006,92.25
1/08/2006,92.25
2/08/2006,92.25
3/08/2006,92.25
4/08/2006,92.5
7/08/2006,92.5
8/08/2006,92.5
9/08/2006,91.5
10/08/2006,91.5
11/08/2006,91.5
14/08/2006,91.5
15/08/2006,91.75
16/08/2006,92.2833
17/08/2006,92.2833
18/08/2006,92.2833
21/08/2006,92.2833
22/08/2006,92
23/08/2006,92
24/08/2006,92
25/08/2006,92
28/08/2006,92
29/08/2006,92
30/08/2006,92
31/08/2006,91.5
1/09/2006,91.5
4/09/2006,91.5
5/09/2006,91.5
6/09/2006,91.5
7/09/2006,91.5
8/09/2006,91.5
11/09/2006,91.5
12/09/2006,91.5
13/09/2006,91.5
14/09/2006,91.5
15/09/2006,91.5
18/09/2006,91.5
19/09/2006,91.5
20/09/2006,91.5
21/09/2006,91.5
22/09/2006,92.25
25/09/2006,92.25
26/09/2006,92.25
27/09/2006,92.25
28/09/2006,92.75
29/09/2006,92.75
2/10/2006,92.75
3/10/2006,92.75
4/10/2006,92.75
5/10/2006,92.75
6/10/2006,92.75
9/10/2006,92.75
10/10/2006,93
11/10/2006,93
12/10/2006,93
13/10/2006,93
16/10/2006,93
17/10/2006,93
18/10/2006,93
19/10/2006,93
20/10/2006,93
23/10/2006,92
24/10/2006,92
25/10/2006,92
26/10/2006,92
27/10/2006,94
30/10/2006,94
31/10/2006,94
1/11/2006,94
2/11/2006,94
3/11/2006,94
6/11/2006,94
