Name,PUBLIC SER.ENTER.GP.2004 5% 15/08/14 S - GROSS PRICE
Code,466164(GP)
17/02/2006,97.3968
20/02/2006,97.4107
21/02/2006,97.2796
22/02/2006,97.5345
23/02/2006,97.311
24/02/2006,97.3413
27/02/2006,97.2175
28/02/2006,97.5154
1/03/2006,97.2821
2/03/2006,96.9883
3/03/2006,96.6894
6/03/2006,96.3528
7/03/2006,96.3806
8/03/2006,96.4379
9/03/2006,96.4787
10/03/2006,96.3185
13/03/2006,96.7939
14/03/2006,97.3307
15/03/2006,97.1458
16/03/2006,97.7299
17/03/2006,97.5476
20/03/2006,97.7457
21/03/2006,97.374
22/03/2006,97.4962
23/03/2006,97.2891
24/03/2006,97.7084
27/03/2006,97.5531
28/03/2006,97.0398
29/03/2006,96.9019
30/03/2006,96.6069
31/03/2006,96.6476
3/04/2006,96.508
4/04/2006,96.5358
5/04/2006,96.8056
6/04/2006,96.4735
7/04/2006,96.0411
10/04/2006,96.0562
11/04/2006,96.2723
12/04/2006,96.035
13/04/2006,95.6697
14/04/2006,95.6836
17/04/2006,95.8824
18/04/2006,96.0941
19/04/2006,95.81
20/04/2006,95.7558
21/04/2006,95.9416
24/04/2006,96.1214
25/04/2006,95.5998
26/04/2006,95.4321
27/04/2006,95.5792
28/04/2006,95.6887
1/05/2006,95.4405
2/05/2006,95.5749
3/05/2006,95.4081
4/05/2006,95.3984
5/05/2006,95.664
8/05/2006,95.623
9/05/2006,95.5883
10/05/2006,95.6469
11/05/2006,95.4751
12/05/2006,95.1423
15/05/2006,95.5183
16/05/2006,95.827
17/05/2006,95.5738
18/05/2006,96.0885
19/05/2006,96.2228
22/05/2006,96.3573
23/05/2006,96.1844
24/05/2006,96.4321
25/05/2006,96.197
26/05/2006,96.3346
29/05/2006,96.3485
30/05/2006,96.1514
31/05/2006,96.0168
1/06/2006,96.0756
2/06/2006,96.7973
5/06/2006,96.6244
6/06/2006,96.765
7/06/2006,96.6792
8/06/2006,96.9074
9/06/2006,96.9789
12/06/2006,96.9691
13/06/2006,97.1537
14/06/2006,96.6364
15/06/2006,96.3533
16/06/2006,96.1828
19/06/2006,96.0932
20/06/2006,96.0345
21/06/2006,96.0933
22/06/2006,95.8441
23/06/2006,95.6756
26/06/2006,95.6238
27/06/2006,95.8172
28/06/2006,95.6497
29/06/2006,95.9304
30/06/2006,96.3332
3/07/2006,96.2625
4/07/2006,96.2764
5/07/2006,95.8695
6/07/2006,96.1422
7/07/2006,96.4832
10/07/2006,96.511
11/07/2006,96.7113
12/07/2006,96.7577
13/07/2006,96.9397
14/07/2006,97.0354
17/07/2006,96.9953
18/07/2006,96.6229
19/07/2006,97.1186
20/07/2006,97.3255
21/07/2006,97.2359
24/07/2006,97.2575
25/07/2006,97.1434
26/07/2006,97.3545
27/07/2006,97.0974
28/07/2006,97.4208
31/07/2006,97.4424
1/08/2006,97.4948
2/08/2006,97.6644
3/08/2006,97.7538
4/08/2006,98.0786
7/08/2006,97.9638
8/08/2006,97.9791
9/08/2006,97.9324
10/08/2006,95.4292
11/08/2006,95.1977
14/08/2006,95.0836
15/08/2006,95.5295
16/08/2006,95.9453
17/08/2006,95.985
18/08/2006,96.1983
21/08/2006,96.3125
22/08/2006,96.3708
23/08/2006,96.3964
24/08/2006,96.4795
25/08/2006,96.5813
28/08/2006,96.5387
29/08/2006,96.6272
30/08/2006,96.8091
31/08/2006,97.0231
1/09/2006,97.069
4/09/2006,97.0829
5/09/2006,96.7552
6/09/2006,96.6754
7/09/2006,96.7274
8/09/2006,96.891
11/09/2006,96.7197
12/09/2006,96.908
13/09/2006,96.9895
14/09/2006,96.8432
15/09/2006,96.8271
18/09/2006,96.7678
19/09/2006,97.2408
20/09/2006,97.3282
21/09/2006,97.8472
22/09/2006,98.1807
25/09/2006,98.4587
26/09/2006,98.2849
27/09/2006,98.2719
28/09/2006,98.0863
