Name,DEAN FOODS CO. 2006 7% 01/06/16 S - GROSS PRICE
Code,66291F(GP)
18/12/2007,88.8889
19/12/2007,88.9472
20/12/2007,88.7166
21/12/2007,88.7361
24/12/2007,88.7555
25/12/2007,88.775
26/12/2007,88.8139
27/12/2007,88.8333
28/12/2007,89.6028
31/12/2007,89.6222
1/01/2008,89.6416
2/01/2008,89.7
3/01/2008,89.2194
4/01/2008,89.4889
7/01/2008,89.2583
8/01/2008,89.2778
9/01/2008,88.3361
10/01/2008,89.3555
11/01/2008,89.375
14/01/2008,89.6444
15/01/2008,89.1639
16/01/2008,88.9722
17/01/2008,89.4916
18/01/2008,89.5111
21/01/2008,89.5305
22/01/2008,89.05
23/01/2008,89.1083
24/01/2008,90.1278
25/01/2008,91.6472
28/01/2008,91.6472
29/01/2008,91.4166
30/01/2008,92.225
31/01/2008,92.2444
1/02/2008,91.7639
4/02/2008,91.7833
5/02/2008,91.8027
6/02/2008,91.3611
7/02/2008,91.1305
8/02/2008,90.9
11/02/2008,90.4194
12/02/2008,88.9389
13/02/2008,88.2472
14/02/2008,88.8916
15/02/2008,88.5361
18/02/2008,88.5555
19/02/2008,88.575
20/02/2008,88.3833
21/02/2008,88.4028
22/02/2008,88.4222
25/02/2008,89.1917
26/02/2008,88.7111
27/02/2008,88.7889
28/02/2008,88.3083
29/02/2008,89.3278
3/03/2008,88.8472
4/03/2008,88.8666
5/03/2008,89.175
6/03/2008,88.9444
7/03/2008,88.9639
10/03/2008,88.9833
11/03/2008,89.0028
12/03/2008,90.5611
13/03/2008,89.4555
14/03/2008,89.475
17/03/2008,88.8694
18/03/2008,88.8889
19/03/2008,88.6972
20/03/2008,89.2166
21/03/2008,89.2361
24/03/2008,89.0055
25/03/2008,90.275
26/03/2008,90.3139
27/03/2008,90.0833
28/03/2008,90.1028
31/03/2008,89.8722
1/04/2008,89.8916
2/04/2008,89.95
3/04/2008,89.9694
4/04/2008,90.9889
7/04/2008,91.5083
8/04/2008,92.5278
9/04/2008,92.3361
10/04/2008,92.1055
11/04/2008,91.125
14/04/2008,91.1444
15/04/2008,92.1639
16/04/2008,92.2222
17/04/2008,92.7416
18/04/2008,92.7611
21/04/2008,93.0305
22/04/2008,93.55
23/04/2008,93.8583
24/04/2008,94.8778
25/04/2008,95.2722
28/04/2008,95.4166
29/04/2008,95.4361
30/04/2008,96.4944
1/05/2008,96.5139
2/05/2008,96.5333
5/05/2008,96.5527
6/05/2008,97.0722
7/05/2008,97.1305
8/05/2008,96.9
9/05/2008,96.9194
12/05/2008,96.6889
13/05/2008,96.8333
14/05/2008,96.5166
15/05/2008,97.2861
16/05/2008,97.8055
19/05/2008,97.825
20/05/2008,97.4694
21/05/2008,97.5278
22/05/2008,97.5472
23/05/2008,97.5667
26/05/2008,97.5861
27/05/2008,96.9805
28/05/2008,93.5194
29/05/2008,93.2889
30/05/2008,93.3083
2/06/2008,93.3278
3/06/2008,93.3472
4/06/2008,93.4055
5/06/2008,93.175
6/06/2008,93.1944
9/06/2008,93.2139
10/06/2008,92.7333
11/06/2008,92.2916
12/06/2008,91.8111
13/06/2008,90.8305
16/06/2008,90.85
17/06/2008,89.6194
18/06/2008,89.6777
19/06/2008,88.1972
20/06/2008,87.2166
23/06/2008,86.4861
24/06/2008,85.5055
25/06/2008,86.5639
26/06/2008,86.8333
27/06/2008,87.3528
30/06/2008,87.3722
1/07/2008,87.3916
2/07/2008,88.2
3/07/2008,88.2194
4/07/2008,88.2389
7/07/2008,88.2583
8/07/2008,87.7778
9/07/2008,88.3361
10/07/2008,88.3555
11/07/2008,88.375
14/07/2008,88.8944
15/07/2008,88.4139
16/07/2008,88.4722
17/07/2008,89.4916
18/07/2008,89.7611
21/07/2008,90.0305
22/07/2008,90.3
23/07/2008,90.6083
24/07/2008,90.6278
25/07/2008,91.1472
28/07/2008,91.3972
29/07/2008,91.4166
30/07/2008,91.975
31/07/2008,91.7444
1/08/2008,92.7639
4/08/2008,92.7833
5/08/2008,93.0527
6/08/2008,93.1111
7/08/2008,93.1305
8/08/2008,93.775
11/08/2008,93.7944
12/08/2008,94.0639
13/08/2008,94.1222
14/08/2008,94.5166
15/08/2008,94.5361
18/08/2008,94.5555
19/08/2008,94.575
20/08/2008,94.3833
21/08/2008,93.9028
22/08/2008,93.9222
25/08/2008,93.6917
26/08/2008,93.7111
27/08/2008,93.75
28/08/2008,94.5194
29/08/2008,94.2889
1/09/2008,94.3083
2/09/2008,94.3278
3/09/2008,94.3861
4/09/2008,94.4055
5/09/2008,94.425
8/09/2008,94.4444
9/09/2008,94.4639
10/09/2008,94.0222
11/09/2008,94.0416
12/09/2008,94.5611
