Name,BALDOR ELEC.CO. 2007 8 5/8% 15/02/17 S - GROSS PRICE
Code,84902Q(GP)
23/07/2008,104.0302
24/07/2008,103.8041
25/07/2008,103.7031
28/07/2008,103.4531
29/07/2008,103.4771
30/07/2008,104.2989
31/07/2008,104.3229
1/08/2008,104.5968
4/08/2008,104.3708
5/08/2008,104.3948
6/08/2008,104.4666
7/08/2008,104.7406
8/08/2008,104.7646
11/08/2008,104.7885
12/08/2008,100.5
13/08/2008,100.5719
14/08/2008,100.8458
15/08/2008,100.8698
18/08/2008,100.8937
19/08/2008,100.9177
20/08/2008,100.9896
21/08/2008,101.0135
22/08/2008,101.0375
25/08/2008,101.0614
26/08/2008,101.0854
27/08/2008,101.6333
28/08/2008,101.6573
29/08/2008,101.6812
1/09/2008,101.7052
2/09/2008,101.7291
3/09/2008,101.801
4/09/2008,101.825
5/09/2008,101.8489
8/09/2008,102.1229
9/09/2008,102.5219
10/09/2008,102.5937
11/09/2008,102.2427
12/09/2008,102.2666
