Name,SK TELECOM CO.LTD. 2004 4 1/4% 01/04/11 S - GROSS PRICE
Code,39405M(GP)
22/08/2005,98.1758
23/08/2005,98.2792
24/08/2005,98.324
25/08/2005,98.4178
26/08/2005,98.2114
29/08/2005,98.3082
30/08/2005,98.8049
31/08/2005,99.2072
1/09/2005,99.3394
2/09/2005,99.2975
5/09/2005,99.3093
6/09/2005,99.125
7/09/2005,99.1691
8/09/2005,99.1348
9/09/2005,99.1669
12/09/2005,98.9199
13/09/2005,99.1458
14/09/2005,98.9823
15/09/2005,98.4881
16/09/2005,98.2351
19/09/2005,98.3281
20/09/2005,98.2716
21/09/2005,99.3809
22/09/2005,99.4509
23/09/2005,99.0639
26/09/2005,98.2835
27/09/2005,98.2182
28/09/2005,96.645
29/09/2005,96.4998
30/09/2005,96.2808
3/10/2005,96.0303
4/10/2005,95.7072
5/10/2005,95.8049
6/10/2005,95.8047
7/10/2005,95.8596
10/10/2005,95.8714
11/10/2005,95.8895
12/10/2005,95.6647
13/10/2005,95.3866
14/10/2005,95.3412
17/10/2005,95.3232
18/10/2005,95.4098
19/10/2005,95.8562
20/10/2005,95.8744
21/10/2005,96.1895
24/10/2005,95.6379
25/10/2005,95.348
26/10/2005,95.0128
27/10/2005,95.1912
28/10/2005,95.1556
31/10/2005,95.1922
1/11/2005,95.1207
2/11/2005,95.0104
3/11/2005,94.8099
4/11/2005,94.7661
7/11/2005,94.6822
8/11/2005,95.047
9/11/2005,94.8931
10/11/2005,95.2284
11/11/2005,95.2402
14/11/2005,94.8666
15/11/2005,95.1211
16/11/2005,95.4758
17/11/2005,95.615
18/11/2005,95.4324
21/11/2005,95.6407
22/11/2005,95.8511
23/11/2005,95.6342
24/11/2005,95.646
25/11/2005,95.8785
28/11/2005,95.9863
29/11/2005,95.6213
30/11/2005,95.868
1/12/2005,95.7575
2/12/2005,95.6517
5/12/2005,95.2943
6/12/2005,95.6621
7/12/2005,95.6116
8/12/2005,95.9355
9/12/2005,95.5737
12/12/2005,95.5305
13/12/2005,95.6285
14/12/2005,96.0549
15/12/2005,96.0955
16/12/2005,96.2112
19/12/2005,96.2429
20/12/2005,96.133
21/12/2005,96.0803
22/12/2005,96.3501
23/12/2005,96.6337
26/12/2005,96.6456
27/12/2005,96.7347
28/12/2005,96.5919
29/12/2005,96.5925
30/12/2005,96.4918
2/01/2006,96.5036
3/01/2006,96.6673
4/01/2006,96.775
5/01/2006,96.8726
6/01/2006,96.7675
9/01/2006,96.7769
10/01/2006,96.4572
11/01/2006,96.3356
12/01/2006,96.5856
13/01/2006,96.8799
16/01/2006,96.8917
17/01/2006,96.9713
18/01/2006,96.9515
19/01/2006,96.9917
20/01/2006,97.0756
23/01/2006,97.1289
24/01/2006,97.0245
25/01/2006,96.7611
26/01/2006,96.6026
27/01/2006,96.7838
30/01/2006,96.5548
31/01/2006,96.556
1/02/2006,96.417
2/02/2006,96.4485
3/02/2006,96.4929
6/02/2006,96.4424
7/02/2006,96.5558
8/02/2006,96.4521
9/02/2006,96.5051
10/02/2006,96.3519
13/02/2006,96.3963
14/02/2006,96.295
15/02/2006,96.4177
16/02/2006,96.4619
17/02/2006,96.6689
20/02/2006,96.6806
21/02/2006,96.5538
22/02/2006,96.6651
23/02/2006,96.4492
24/02/2006,96.4414
27/02/2006,96.3794
28/02/2006,96.6104
1/03/2006,96.1879
2/03/2006,96.038
3/03/2006,95.8846
6/03/2006,95.9287
7/03/2006,95.9393
8/03/2006,96.0129
9/03/2006,96.0319
10/03/2006,95.9629
13/03/2006,95.7312
14/03/2006,96.1431
15/03/2006,96.1413
16/03/2006,96.554
17/03/2006,96.4637
20/03/2006,96.537
21/03/2006,96.2086
22/03/2006,96.2446
23/03/2006,96.1012
24/03/2006,96.395
27/03/2006,96.2931
28/03/2006,95.8564
29/03/2006,93.6733
30/03/2006,93.4902
31/03/2006,93.3488
3/04/2006,93.3349
4/04/2006,93.4196
5/04/2006,93.6981
6/04/2006,93.5404
7/04/2006,93.2118
10/04/2006,93.2512
11/04/2006,93.3858
12/04/2006,93.2493
13/04/2006,93.0573
14/04/2006,93.0691
17/04/2006,93.2303
18/04/2006,93.4648
19/04/2006,93.3675
20/04/2006,93.3055
21/04/2006,93.3247
24/04/2006,93.4288
25/04/2006,93.1407
26/04/2006,93.0051
27/04/2006,93.7307
28/04/2006,93.7822
1/05/2006,93.5665
2/05/2006,93.63
3/05/2006,93.5218
4/05/2006,93.4484
5/05/2006,93.6285
8/05/2006,93.551
9/05/2006,93.7593
10/05/2006,93.7521
11/05/2006,93.7189
12/05/2006,93.5856
15/05/2006,93.7531
16/05/2006,93.9569
17/05/2006,93.6494
18/05/2006,93.9087
19/05/2006,93.9077
22/05/2006,93.9428
23/05/2006,93.8219
24/05/2006,94.0063
25/05/2006,93.5397
26/05/2006,93.9495
29/05/2006,93.9613
30/05/2006,93.8569
31/05/2006,93.7038
1/06/2006,93.7468
2/06/2006,94.2591
5/06/2006,94.0551
6/06/2006,94.11
7/06/2006,94.2547
8/06/2006,94.3771
9/06/2006,94.3882
12/06/2006,94.1651
13/06/2006,94.2952
14/06/2006,93.9414
15/06/2006,93.7797
16/06/2006,93.6891
19/06/2006,93.6261
20/06/2006,93.5829
21/06/2006,93.5045
22/06/2006,93.341
23/06/2006,93.2555
26/06/2006,93.2364
27/06/2006,93.3453
28/06/2006,93.249
29/06/2006,93.4971
30/06/2006,93.7456
3/07/2006,93.7612
4/07/2006,93.773
5/07/2006,93.5254
6/07/2006,93.688
7/07/2006,93.8934
10/07/2006,93.9903
11/07/2006,94.1067
12/07/2006,94.1377
13/07/2006,94.2927
14/07/2006,94.3858
17/07/2006,94.3313
