Name,HORIZON LINES LLC 2004 9% 01/11/12 144A S - GROSS PRICE
Code,46200V(GP)
19/04/2006,112.325
20/04/2006,112.35
21/04/2006,112.375
24/04/2006,112.4
25/04/2006,112.425
26/04/2006,108
27/04/2006,108.025
28/04/2006,108.05
1/05/2006,108.075
2/05/2006,108.1
3/05/2006,108.175
4/05/2006,108.2
5/05/2006,108.225
8/05/2006,108.25
9/05/2006,108.275
10/05/2006,108.35
11/05/2006,108.375
12/05/2006,108.4
15/05/2006,108.425
16/05/2006,108.45
17/05/2006,108.525
18/05/2006,108.55
19/05/2006,108.575
22/05/2006,108.6
23/05/2006,108.625
24/05/2006,108.7
25/05/2006,108.725
26/05/2006,108.725
29/05/2006,108.75
30/05/2006,108.775
31/05/2006,108.85
1/06/2006,108.875
2/06/2006,108.9
5/06/2006,108.925
6/06/2006,108.95
7/06/2006,109.025
8/06/2006,109.05
9/06/2006,109.075
12/06/2006,109.1
13/06/2006,109.125
14/06/2006,109.2
15/06/2006,109.225
16/06/2006,109.25
19/06/2006,109.275
20/06/2006,109.3
21/06/2006,109.375
22/06/2006,109.4
23/06/2006,109.425
26/06/2006,109.45
27/06/2006,109.475
28/06/2006,109.55
29/06/2006,109.575
30/06/2006,109.6
3/07/2006,109.625
4/07/2006,109.65
5/07/2006,109.725
6/07/2006,109.75
7/07/2006,109.775
10/07/2006,109.8
11/07/2006,109.825
12/07/2006,109.9
13/07/2006,109.925
14/07/2006,109.95
17/07/2006,109.975
18/07/2006,110
19/07/2006,110.075
20/07/2006,110.1
21/07/2006,110.125
24/07/2006,110.15
25/07/2006,110.175
26/07/2006,110.225
27/07/2006,110.25
28/07/2006,110.275
31/07/2006,110.3
1/08/2006,110.325
2/08/2006,110.4
3/08/2006,110.425
4/08/2006,110.45
7/08/2006,110.475
8/08/2006,110.5
9/08/2006,110.575
10/08/2006,110.6
11/08/2006,110.625
14/08/2006,110.65
15/08/2006,110.675
16/08/2006,110.75
17/08/2006,110.775
18/08/2006,110.8
21/08/2006,110.825
22/08/2006,110.85
23/08/2006,110.925
24/08/2006,110.95
25/08/2006,110.975
28/08/2006,110.975
29/08/2006,111
